time_h,0cm,0.5cm,1.0cm,1.5cm,surface
6,1.9473,1.7782,1.254,,0.5654
12,0.8718,0.775,0.4851,,0.214
18,0.4588,0.4126,0.265,,0.1019
24,0.307,0.2803,0.1901,,0.0713
30,0.2379,0.2197,0.1554,,0.061
36,0.1999,0.186,0.1356,,0.0567
42,0.176,0.1647,0.1226,,0.0545
48,0.1596,0.1499,0.1135,,0.0532
drying_end(52.6361),0.15,0.1413,0.1081,,0.0526
